,10m,1D20h10m
Ann. alpha,-0.975386195975098,-0.013475485014329713
beta,0.003773140230389684,0.003515220331168098
Mean Period Wise Return Top Quantile (bps),-1.6619299510789443,-0.009614837440663493
Mean Period Wise Return Bottom Quantile (bps),0.5148321758574603,-0.0025295294248106615
Mean Period Wise Spread (bps),-2.176762126936874,-0.007153029149156613
